Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Stang, Andreas; Standl, Fabian; Kowall, Bernd; Brune, Bastian; Böttcher, Juliane; Brinkmann, Marcus; Dittmer, Ulf; Jöckel, Karl-Heinz; ",Excess mortality due to COVID-19 in Germany,Journal of Infection,81,5,797-801,2020,Elsevier
"Beaney, Thomas; Clarke, Jonathan M; Jain, Vageesh; Golestaneh, Amelia Kataria; Lyons, Gemma; Salman, David; Majeed, Azeem; ",Excess mortality: the gold standard in measuring the impact of COVID-19 worldwide?,Journal of the Royal Society of Medicine,113,9,329-334,2020,"SAGE Publications Sage UK: London, England"
"Msemburi, William; Karlinsky, Ariel; Knutson, Victoria; Aleshin-Guendel, Serge; Chatterji, Somnath; Wakefield, Jon; ",The WHO estimates of excess mortality associated with the COVID-19 pandemic,Nature,613,7942,130-137,2023,Nature Publishing Group UK London
"Karlinsky, Ariel; Kobak, Dmitry; ",The World Mortality Dataset: Tracking excess mortality across countries during the COVID-19 pandemic,MedRxiv,,,,2021,Cold Spring Harbor Laboratory Preprints
"Chen, Yea-Hung; Glymour, Maria; Riley, Alicia; Balmes, John; Duchowny, Kate; Harrison, Robert; Matthay, Ellicott; Bibbins-Domingo, Kirsten; ","Excess mortality associated with the COVID-19 pandemic among Californians 18–65 years of age, by occupational sector and occupation: March through November 2020",PloS one,16,6,e0252454,2021,"Public Library of Science San Francisco, CA USA"
"Sanmarchi, Francesco; Golinelli, Davide; Lenzi, Jacopo; Esposito, Francesco; Capodici, Angelo; Reno, Chiara; Gibertoni, Dino; ",Exploring the gap between excess mortality and COVID-19 deaths in 67 countries,JAMA Network Open,4,7,e2117359-e2117359,2021,American Medical Association
"Lima, Everton EC; Vilela, Estevão A; Peralta, Andrés; Rocha, Marília; Queiroz, Bernardo L; Gonzaga, Marcos R; Piscoya-Díaz, Mario; Martinez-Folgar, Kevin; García-Guerrero, Víctor M; Freire, Flávio HMA; ",Investigating regional excess mortality during 2020 COVID-19 pandemic in selected Latin American countries,Genus,77,1,30,2021,Springer
"Vandoros, Sotiris; ",Excess mortality during the Covid-19 pandemic: Early evidence from England and Wales,Social Science & Medicine,258,,113101,2020,Elsevier
"Rossen, Lauren M; Ahmad, Farida B; Anderson, Robert N; Branum, Amy M; Du, Chengan; Krumholz, Harlan M; Li, Shu-Xia; Lin, Zhenqiu; Marshall, Andrew; Sutton, Paul D; ","Disparities in excess mortality associated with COVID-19—United States, 2020",Morbidity and Mortality Weekly Report,70,33,1114,2021,Centers for Disease Control and Prevention
"Nogueira, Paulo Jorge; De Araújo Nobre, Miguel; Nicola, Paulo Jorge; Furtado, Cristina; Carneiro, António Vaz; ",Excess mortality estimation during the COVID-19 pandemic: preliminary data from Portugal,Acta Médica Portuguesa,33,6,376-383,2020,
"Morgan, David; Ino, Junya; Di Paolantonio, Gabriel; Murtin, Fabrice; ",Excess mortality: Measuring the direct and indirect impact of COVID-19,,,,,2020,OECD
"śmiertelność związana z COVID, Nadmierna; ",COVID-19-related excess mortality–an overview of the current evidence,ARCH MED SADOWEJ KRYMINOL,73,1,,2023,
"Rivera, Roberto; Rosenbaum, Janet E; Quispe, Walter; ",Excess mortality in the United States during the first three months of the COVID-19 pandemic,Epidemiology & Infection,148,,e264,2020,Cambridge University Press
"Martinez-Folgar, Kevin; Alburez-Gutierrez, Diego; Paniagua-Avila, Alejandra; Ramirez-Zea, Manuel; Bilal, Usama; ",Excess mortality during the COVID-19 pandemic in Guatemala,American journal of public health,111,10,1839-1846,2021,American Public Health Association
"Stokes, Andrew C; Lundberg, Dielle J; Elo, Irma T; Hempstead, Katherine; Bor, Jacob; Preston, Samuel H; ",COVID-19 and excess mortality in the United States: A county-level analysis,PLoS medicine,18,5,e1003571,2021,"Public Library of Science San Francisco, CA USA"
"Krieger, Nancy; Chen, Jarvis T; Waterman, Pamela D; ",Excess mortality in men and women in Massachusetts during the COVID-19 pandemic,The Lancet,395,10240,1829,2020,Elsevier
"Michelozzi, Paola; de’Donato, Francesca; Scortichini, Matteo; Pezzotti, Patrizio; Stafoggia, Massimo; De Sario, Manuela; Costa, Giuseppe; Noccioli, Fiammetta; Riccardo, Flavia; Bella, Antonino; ",Temporal dynamics in total excess mortality and COVID-19 deaths in Italian cities,BMC public health,20,,1-8,2020,Springer
"Belbasis, L; ",Quality of COVID-19 research: An overview of large-scale assessments and a case study on excess mortality estimates,European Journal of Public Health,32,Supplement_3,ckac129. 126,2022,Oxford University Press
"Ramírez-Soto, Max Carlos; Ortega-Cáceres, Gutia; ",Analysis of excess all-cause mortality and COVID-19 mortality in Peru: observational study,Tropical Medicine and Infectious Disease,7,3,44,2022,MDPI
"Quevedo-Ramirez, Andres; Al-kassab-Córdova, Ali; Mendez-Guerra, Carolina; Cornejo-Venegas, Gonzalo; Alva-Chavez, Kenedy P; ",Altitude and excess mortality during COVID-19 pandemic in Peru,Respiratory physiology & neurobiology,281,,103512,2020,Elsevier
"Kowall, Bernd; Standl, Fabian; Oesterling, Florian; Brune, Bastian; Brinkmann, Marcus; Dudda, Marcel; Pflaumer, Peter; Jöckel, Karl-Heinz; Stang, Andreas; ","Excess mortality due to Covid-19? A comparison of total mortality in 2020 with total mortality in 2016 to 2019 in Germany, Sweden and Spain",PLoS One,16,8,e0255540,2021,Public Library of Science
"Dahal, Sushma; Banda, Juan M; Bento, Ana I; Mizumoto, Kenji; Chowell, Gerardo; ",Characterizing all-cause excess mortality patterns during COVID-19 pandemic in Mexico,BMC Infectious Diseases,21,1,1-10,2021,BioMed Central
"Thomas, Rodrigo Cerda; ","Excess mortality during the COVID-19 pandemic, a narrative review Exceso de mortalidad durante la pandemia de COVID-19, revisión narrativa",,,,,2020,Sociedad Medica de Santiago
"Konstantinoudis, Garyfallos; Cameletti, Michela; Gómez-Rubio, Virgilio; Gómez, Inmaculada León; Pirani, Monica; Baio, Gianluca; Larrauri, Amparo; Riou, Julien; Egger, Matthias; Vineis, Paolo; ",Regional excess mortality during the 2020 COVID-19 pandemic in five European countries,Nature communications,13,1,482,2022,Nature Publishing Group UK London
"Haklai, Ziona; Aburbeh, Miriam; Goldberger, Nehama; Gordon, Ethel-Sherry; ","Excess mortality during the COVID-19 pandemic in Israel, March–November 2020: when, where, and for whom?",Israel Journal of Health Policy Research,10,,1-7,2021,Springer
"Lu, David; Dhanoa, Sumeet; Cheema, Harleen; Lewis, Kimberley; Geeraert, Patrick; Merrick, Benjamin; Vander Leek, Aaron; Sebastianski, Meghan; Kula, Brittany; Chaudhuri, Dipayan; ",Coronavirus disease 2019 (COVID-19) excess mortality outcomes associated with pandemic effects study (COPES): A systematic review and meta-analysis,Frontiers in Medicine,9,,999225,2022,Frontiers
"Dorrucci, Maria; Minelli, Giada; Boros, Stefano; Manno, Valerio; Prati, Sabrina; Battaglini, Marco; Corsetti, Gianni; Andrianou, Xanthi; Riccardo, Flavia; Fabiani, Massimo; ","Excess mortality in Italy during the COVID-19 pandemic: assessing the differences between the first and the second wave, year 2020",Frontiers in public health,9,,669209,2021,Frontiers
"Raihen, Md Nurul; Akter, Sultana; Tabassum, Fariha; Jahan, Farjana; Begum, Shakera; ",A statistical analysis of excess mortality mean at Covid-19 in 2020-2021,Computational Journal of Mathematical and Statistical Sciences,2,2,223-239,2023,The Scientific Association for Studies and Applied Research
"Staub, Kaspar; Panczak, Radoslaw; Matthes, Katarina L; Floris, Joël; Berlin, Claudia; Junker, Christoph; Weitkunat, Rolf; Mamelund, Svenn-Erik; Zwahlen, Marcel; Riou, Julien; ","Historically high excess mortality during the COVID-19 pandemic in Switzerland, Sweden, and Spain",Annals of internal medicine,175,4,523-532,2022,American College of Physicians
"Scortichini, Matteo; Schneider dos Santos, Rochelle; De’Donato, Francesca; De Sario, Manuela; Michelozzi, Paola; Davoli, Marina; Masselot, Pierre; Sera, Francesco; Gasparrini, Antonio; ",Excess mortality during the COVID-19 outbreak in Italy: a two-stage interrupted time-series analysis,International journal of epidemiology,49,6,1909-1917,2020,Oxford University Press
"Kepp, Kasper P; Björk, Jonas; Kontis, Vasilis; Parks, Robbie M; Bæk, Kristoffer T; Emilsson, Louise; Lallukka, Tea; ",Estimates of excess mortality for the five Nordic countries during the COVID-19 pandemic 2020− 2021,International Journal of Epidemiology,51,6,1722-1732,2022,Oxford University Press
"Molenberghs, Geert; Faes, Christel; Verbeeck, Johan; Deboosere, Patrick; Abrams, Steven; Willem, Lander; Aerts, Jan; Theeten, Heidi; Devleesschauwer, Brecht; Sierra, Natalia Bustos; ","COVID-19 mortality, excess mortality, deaths per million and infection fatality ratio, Belgium, 9 March 2020 to 28 June 2020",Eurosurveillance,27,7,2002060,2022,European Centre for Disease Prevention and Control
"Blangiardo, Marta; Cameletti, Michela; Pirani, Monica; Corsetti, Gianni; Battaglini, Marco; Baio, Gianluca; ",Estimating weekly excess mortality at sub-national level in Italy during the COVID-19 pandemic,PloS one,15,10,e0240286,2020,"Public Library of Science San Francisco, CA USA"
"Felix-Cardoso, Jorge; Vasconcelos, Henrique; Pereira Rodrigues, P; Cruz-Correia, Ricardo; ",Excess mortality during COVID-19 in five European countries and a critique of mortality data analysis,MedRxiv,,,2020.04. 28.20083147,2020,Cold Spring Harbor Laboratory Press
"Kowall, Bernd; Stang, Andreas; ",Estimates of excess mortality during the COVID-19 pandemic strongly depend on subjective methodological choices,Herz,,,1-4,2023,Springer
"Chen, Yea-Hung; Matthay, Ellicott C; Chen, Ruijia; DeVost, Michelle A; Duchowny, Kate A; Riley, Alicia R; Bibbins-Domingo, Kirsten; Glymour, M Maria; ",Excess mortality in California by education during the COVID-19 pandemic,American Journal of Preventive Medicine,63,5,827-836,2022,Elsevier
"Jain, Vageesh; Clarke, Jonathan; Beaney, Thomas; ",Association between democratic governance and excess mortality during the COVID-19 pandemic: an observational study,J Epidemiol Community Health,76,10,853-860,2022,BMJ Publishing Group Ltd
"Ortiz-Prado, Esteban; Fernandez Naranjo, Raul Patricio; Vasconez, Eduardo; Simbaña-Rivera, Katherine; Correa-Sancho, Trigomar; Lister, Alex; Calvopiña, Manuel; Viscor, Ginés; ",Analysis of excess mortality data at different altitudes during the COVID-19 outbreak in Ecuador,High altitude medicine & biology,22,4,406-416,2021,"Mary Ann Liebert, Inc., publishers 140 Huguenot Street, 3rd Floor New …"
"Olson, Donald R; Huynh, Mary; Fine, Annie; Baumgartner, Jennifer; Castro, Alejandro; Chan, Hiu Tai; Daskalakis, Demetre; Devinney, Katelynn; Guerra, Kevin; Harper, Scott; ","Preliminary estimate of excess mortality during the COVID-19 outbreak—New York City, March 11–May 2, 2020",,,,,2020,
"Riley, Alicia R; Chen, Yea-Hung; Matthay, Ellicott C; Glymour, M Maria; Torres, Jacqueline M; Fernandez, Alicia; Bibbins-Domingo, Kirsten; ",Excess mortality among Latino people in California during the COVID-19 pandemic,SSM-population health,15,,100860,2021,Elsevier
"Antonio-Villa, Neftali Eduardo; Fernandez-Chirino, Luisa; Pisanty-Alatorre, Julio; Mancilla-Galindo, Javier; Kammar-García, Ashuin; Vargas-Vázquez, Arsenio; González-Díaz, Armando; Fermín-Martínez, Carlos A; Márquez-Salinas, Alejandro; Guerra, Enrique C; ",Comprehensive evaluation of the impact of sociodemographic inequalities on adverse outcomes and excess mortality during the coronavirus disease 2019 (COVID-19) pandemic in Mexico City,Clinical infectious diseases,74,5,785-792,2022,Oxford University Press US
"Modig, Karin; Ahlbom, Anders; Ebeling, Marcus; ",Excess mortality from COVID-19: weekly excess death rates by age and sex for Sweden and its most affected region,European journal of public health,31,1,17-22,2021,Oxford University Press
"Davies, Bethan; Parkes, Brandon L; Bennett, James; Fecht, Daniela; Blangiardo, Marta; Ezzati, Majid; Elliott, Paul; ",Community factors and excess mortality in first wave of the COVID-19 pandemic in England,Nature communications,12,1,3755,2021,Nature Publishing Group UK London
"Kontopantelis, Evangelos; Mamas, Mamas A; Deanfield, John; Asaria, Miqdad; Doran, Tim; ",Excess mortality in England and Wales during the first wave of the COVID-19 pandemic,J Epidemiol Community Health,,,,2020,BMJ Publishing Group Ltd
"Nucci, LB; Enes, CC; Ferraz, FR; da Silva, IV; Rinaldi, AEM; Conde, WL; ",Excess mortality associated with COVID-19 in Brazil: 2020–2021,Journal of Public Health,45,1,e7-e9,2023,Oxford University Press
"Ackley, Calvin A; Lundberg, Dielle J; Ma, Lei; Elo, Irma T; Preston, Samuel H; Stokes, Andrew C; ",County-level estimates of excess mortality associated with COVID-19 in the United States,SSM-Population Health,17,,101021,2022,Elsevier
"Yadav, Arun Kumar; Ahmed, Tarrunum; Dhumka, Neha; Singh, Sumeet; Pathak, Vineet; Kotwal, Atul; ",A systematic review of excess all-cause mortality estimation studies in India during COVID-19 pandemic,Medical Journal Armed Forces India,,,,2023,Elsevier
"Agrawal, Virat; Cantor, Jonathan H; Sood, Neeraj; Whaley, Christopher M; ",The impact of the COVID-19 pandemic and policy responses on excess mortality,,,,,2021,National Bureau of Economic Research
"Fernandes, Gisele Aparecida; Junior, Antonio Paulo Nassar; Azevedo e Silva, Gulnar; Feriani, Diego; França e Silva, Ivan Leonardo Avelino; Caruso, Pedro; Curado, Maria Paula; ","Excess mortality by specific causes of deaths in the city of São Paulo, Brazil, during the COVID-19 pandemic",PLoS One,16,6,e0252238,2021,"Public Library of Science San Francisco, CA USA"
"Hossain, Mohammad Sorowar; Khan, Jahidur Rahman; Al Mamun, SM Abdullah; Islam, Mohammad Tariqul; Raheem, Enayetur; ",Excess mortality during the COVID-19 pandemic (2020–2021) in an urban community of Bangladesh,PLOS Global Public Health,3,7,e0002176,2023,"Public Library of Science San Francisco, CA USA"
"Leffler, Christopher T; Das, Saurav; Yang, Edward; Konda, Sneha; ",Preliminary analysis of excess mortality in India during the COVID-19 pandemic,The American Journal of Tropical Medicine and Hygiene,106,5,1507,2022,The American Society of Tropical Medicine and Hygiene
"Makarova, Maria N; Pyshmintseva, ОА; ",Excess mortality in Russian regions during the COVID-19 pandemic,R-Economy. 2021. Vol. 7. Iss. 4,7,4,225-234,2021,Уральский федеральный университет
"Bager, Peter; Nielsen, Jens; Bhatt, Samir; Nielsen, Lise Birk; Krause, Tyra Grove; Vestergaard, Lasse Skafte; ",Conflicting COVID-19 excess mortality estimates,The Lancet,401,10375,432-433,2023,Elsevier
"Zhu, Dongshan; Ozaki, Akihiko; Virani, Salim S; ",Disease-specific excess mortality during the COVID-19 pandemic: an analysis of weekly US death data for 2020,American journal of public health,111,8,1518-1522,2021,American Public Health Association
"Knutson, Victoria; Aleshin-Guendel, Serge; Karlinsky, Ariel; Msemburi, William; Wakefield, Jon; ",Estimating global and country-specific excess mortality during the COVID-19 pandemic,The Annals of Applied Statistics,17,2,1353-1374,2023,Institute of Mathematical Statistics
"Tadbiri, Hooman; Moradi-Lakeh, Maziar; Naghavi, Mohsen; ",All-cause excess mortality and COVID-19-related deaths in Iran,Medical journal of the Islamic Republic of Iran,34,,80,2020,Iran University of Medical Sciences
"Lai, Alvina G; Pasea, Laura; Banerjee, Amitava; Denaxas, Spiros; Katsoulis, Michail; Chang, Wai Hoong; Williams, Bryan; Pillay, Deenan; Noursadeghi, Mahdad; Linch, David; ",Estimating excess mortality in people with cancer and multimorbidity in the COVID-19 emergency,MedRxiv,,,2020.05. 27.20083287,2020,Cold Spring Harbor Laboratory Press
"Conti, Sara; Ferrara, Pietro; Mazzaglia, Giampiero; D'Orso, Marco I; Ciampichini, Roberta; Fornari, Carla; Madotto, Fabiana; Magoni, Michele; Sampietro, Giuseppe; Silenzi, Andrea; ",Magnitude and time-course of excess mortality during COVID-19 outbreak: population-based empirical evidence from highly impacted provinces in northern Italy,ERJ open research,6,3,,2020,Eur Respiratory Soc
"Koum Besson, Emilie S; Norris, Andy; Bin Ghouth, Abdulla S; Freemantle, Terri; Alhaffar, Mervat; Vazquez, Yolanda; Reeve, Chris; Curran, Patrick J; Checchi, Francesco; ","Excess mortality during the COVID-19 pandemic: a geospatial and statistical analysis in Aden governorate, Yemen.",BMJ global health,6,3,e004564-e004564,2021,BMJ Publishing Group
"De Nicola, Giacomo; Kauermann, Göran; Höhle, Michael; ",On assessing excess mortality in Germany during the COVID-19 pandemic,AStA Wirtschafts-und Sozialstatistisches Archiv,16,1,5-20,2022,Springer
"Schlageter, Samantha; ",Who is Right?: Assessing Excess Mortality Estimation Methods during the COVID-19 Pandemic,,,,,2021,
"Moeti, Matshidiso; Makubalo, Lindiwe; Gueye, Abdou Salam; Balde, Thierno; Karamagi, Humphrey; Awandare, Gordon; Thumbi, SM; Zhang, Feifei; Mutapi, Francisca; Woolhouse, Mark; ",Conflicting COVID-19 excess mortality estimates,The Lancet,401,10375,431,2023,Elsevier
"Aron, Janine; Muellbauer, John; ",Measuring excess mortality: the case of England during the Covid-19 Pandemic,"Institute for New Economic Thinking, Oxford Working Paper",11,,,2020,
"Oh, Jieun; Min, Jieun; Kang, Cinoo; Kim, Ejin; Lee, Jung Pyo; Kim, Ho; Lee, Whanhee; ",Excess mortality and the COVID-19 pandemic: causes of death and social inequalities,BMC public health,22,1,2293,2022,Springer
"Bogos, Krisztina; Kiss, Zoltan; Kerpel Fronius, Anna; Temesi, Gabriella; Jenő, Elek; Madurka, Ildikó; Cselkó, Zsuzsaanna; Csányi, Péter; Abonyi-Tóth, Zsolt; Rokszin MD, György; ",Different trends in excess mortality in a central European country compared to main European regions in the year of the COVID-19 pandemic (2020): a Hungarian analysis,Pathology and Oncology Research,27,,1609774,2021,Frontiers
"Burda, Zdzislaw; ",Modelling excess mortality in covid-19-like epidemics,Entropy,22,11,1236,2020,MDPI
"Gobiņa, Inese; Avotiņš, Andris; Kojalo, Una; Strēle, Ieva; Pildava, Santa; Villeruša, Anita; Briģis, Ģirts; ",Excess mortality associated with the COVID-19 pandemic in Latvia: a population-level analysis of all-cause and noncommunicable disease deaths in 2020,BMC public health,22,1,1-12,2022,BioMed Central
"Besson, Emilie S Koum; Norris, Andy; Ghouth, Abdulla S Bin; Freemantle, Terri; Alhaffar, Mervat; Vazquez, Yolanda; Reeve, Chris; Curran, Patrick J; Checchi, Francesco; ","Excess mortality during the COVID-19 pandemic: a geospatial and statistical analysis in Aden governorate, Yemen",BMJ Global Health,6,3,e004564,2021,BMJ Specialist Journals
"Vieira, André; Ricoca Peixoto, Vasco; Aguiar, Pedro; Abrantes, Alexandre; ",Rapid estimation of excess mortality during the COVID-19 pandemic in Portugal-beyond reported deaths,Journal of epidemiology and global health,10,3,209-213,2020,Springer
"Ledesma, Jorge Ricardo; Isaac, Christopher R; Dowell, Scott F; Blazes, David L; Essix, Gabrielle V; Budeski, Katherine; Bell, Jessica; Nuzzo, Jennifer B; ",Evaluation of the Global Health Security Index as a predictor of COVID-19 excess mortality standardised for under-reporting and age structure,BMJ Global Health,8,7,e012203,2023,BMJ Specialist Journals
"Vanella, Patrizio; Basellini, Ugofilippo; Lange, Berit; ",Assessing excess mortality in times of pandemics based on principal component analysis of weekly mortality data—the case of COVID-19,Genus,77,1,1-36,2021,SpringerOpen
"Kapitsinis, Nikolaos; ",The underlying factors of excess mortality in 2020: a cross-country analysis of pre-pandemic healthcare conditions and strategies to cope with Covid-19,BMC Health Services Research,21,1,1-19,2021,BioMed Central
"Shishkin, Aleksandr; Lhewa, Pema; Yang, Chen; Gankin, Yuriy; Chowell, Gerardo; Norris, Michael; Skums, Pavel; Kirpich, Alexander; ",Excess mortality in Ukraine during the course of COVID-19 pandemic in 2020–2021,Scientific Reports,13,1,6917,2023,Nature Publishing Group UK London
"Liu, Jiangmei; Zhang, Lan; Yan, Yaqiong; Zhou, Yuchang; Yin, Peng; Qi, Jinlei; Wang, Lijun; Pan, Jingju; You, Jinling; Yang, Jing; ",Excess mortality in Wuhan city and other parts of China during the three months of the covid-19 outbreak: findings from nationwide mortality registries,bmj,372,,,2021,British Medical Journal Publishing Group
"Palacio-Mejía, Lina Sofía; Wheatley-Fernández, Jorge Leonel; Ordóñez-Hernández, Iliana; López-Ridaura, Ruy; Gatell-Ramírez, Hugo López; Hernández-Ávila, Mauricio; Hernández-Ávila, Juan Eugenio; ",All-Cause excess mortality during the Covid-19 pandemic in Mexico,salud pública de méxico,63,2,211-224,2021,
"Khader, Yousef; Al Nsour, Mohannad; ",Excess mortality during the COVID-19 pandemic in Jordan: secondary data analysis,JMIR Public Health and Surveillance,7,10,e32559,2021,"JMIR Publications Inc., Toronto, Canada"
"Sabbatini, Amber K; Robicsek, Ari; Chiu, Shih‐Ting; Gluckman, Ty J; ",Excess mortality among patients hospitalized during the COVID‐19 pandemic,Journal of Hospital Medicine,16,10,596-602,2021,Wiley Online Library
"Ballin, Marcel; Bergman, Jonathan; Kivipelto, Miia; Nordström, Anna; Nordström, Peter; ",Excess mortality after COVID-19 in Swedish long-term care facilities,Journal of the American Medical Directors Association,22,8,1574-1580. e8,2021,Elsevier
"Nielsen, Jens; Nørgaard, Sarah K; Lanzieri, Giampaolo; Vestergaard, Lasse S; Moelbak, Kaare; ",Sex-differences in COVID-19 associated excess mortality is not exceptional for the COVID-19 pandemic,Scientific reports,11,1,20815,2021,Nature Publishing Group UK London
"Díaz Ramírez, Marcos; Veneri, Paolo; Lembcke, Alexander C; ",Where did it hit harder? Understanding the geography of excess mortality during the COVID‐19 pandemic,Journal of Regional Science,62,3,889-908,2022,Wiley Online Library
"Barnard, Sharmani; Chiavenna, Chiara; Fox, Sebastian; Charlett, Andre; Waller, Zachary; Andrews, Nick; Goldblatt, Peter; Burton, Paul; De Angelis, Daniela; ",Methods for modelling excess mortality across England during the COVID-19 pandemic,Statistical Methods in Medical Research,31,9,1790-1802,2022,"SAGE Publications Sage UK: London, England"
"Grabowski, Jakub; Witkowska, Natalia; Bidzan, Leszek; ",Excess all-cause mortality during second wave of COVID-19–the Polish perspective,Eurosurveillance,26,7,2100117,2021,European Centre for Disease Prevention and Control
"Rossen, Lauren M; Nørgaard, Sarah K; Sutton, Paul D; Krause, Tyra G; Ahmad, Farida B; Vestergaard, Lasse S; Mølbak, Kåre; Anderson, Robert N; Nielsen, Jens; ","Excess all-cause mortality in the USA and Europe during the COVID-19 pandemic, 2020 and 2021",Scientific Reports,12,1,18559,2022,Nature Publishing Group UK London
"Shkolnikov, Vladimir M; Klimkin, Ilya; McKee, Martin; Jdanov, Dmitri A; Alustiza-Galarza, Ainhoa; Németh, László; Timonin, Sergey A; Nepomuceno, Marília R; Andreev, Evgeny M; Leon, David A; ",What should be the baseline when calculating excess mortality? New approaches suggest that we have underestimated the impact of the COVID-19 pandemic and previous winter peaks,SSM-population health,18,,101118,2022,Elsevier
"Faust, Jeremy Samuel; Du, Chengan; Liang, Chenxue; Mayes, Katherine Dickerson; Renton, Benjamin; Panthagani, Kristen; Krumholz, Harlan M; ",Excess mortality in Massachusetts during the delta and omicron waves of COVID-19,Jama,328,1,74-76,2022,American Medical Association
"Ghislandi, Simone; Muttarak, Raya; Sauerberg, Markus; Scotti, Benedetta; ",News from the front: Estimation of excess mortality and life expectancy in the major epicenters of the COVID-19 pandemic in Italy,MedRxiv,,,2020.04. 29.20084335,2020,Cold Spring Harbor Laboratory Press
"Faust, Jeremy Samuel; Krumholz, Harlan M; Du, Chengan; Mayes, Katherine Dickerson; Lin, Zhenqiu; Gilman, Cleavon; Walensky, Rochelle P; ","All-cause excess mortality and COVID-19–related mortality among US adults aged 25-44 years, March-July 2020",Jama,325,8,785-787,2021,American Medical Association
"Akhtar-Danesh, Noori; Baumann, Andrea; Crea-Arsenio, Mary; Antonipillai, Valentina; ","COVID-19 excess mortality among long-term care residents in Ontario, Canada",PLoS One,17,1,e0262807,2022,"Public Library of Science San Francisco, CA USA"
"Calderón-Larrañaga, Amaia; Vetrano, Davide L; Rizzuto, Debora; Bellander, Tom; Fratiglioni, Laura; Dekhtyar, Serhiy; ","High excess mortality in areas with young and socially vulnerable populations during the COVID-19 outbreak in Stockholm Region, Sweden",BMJ global health,5,10,e003595,2020,BMJ Specialist Journals
"Konstantinoudis, Garyfallos; Gómez-Rubio, Virgilio; Cameletti, Michela; Pirani, Monica; Baio, Gianluca; Blangiardo, Marta; ",A Workflow for Estimating and Visualising Excess Mortality During the COVID-19 Pandemic,The R Journal,15,2,89-104,2023,The R Foundation
